"ZIP
code [1]",Size of adjusted gross income,Number of returns
43326,"$100,000 under $200,000",390
43326,"$200,000 or more",50
,,
43331,,"2,110"
43331,"$1 under $25,000",850
43331,"$25,000 under $50,000",620
43331,"$50,000 under $75,000",320
43331,"$75,000 under $100,000",170
43331,"$100,000 under $200,000",130
43331,"$200,000 or more",20
,,
43332,,930
43332,"$1 under $25,000",340
43332,"$25,000 under $50,000",250
43332,"$50,000 under $75,000",140
43332,"$75,000 under $100,000",100
43332,"$100,000 under $200,000",100
43332,"$200,000 or more",**
,,
43333,,390
43333,"$1 under $25,000",140
43333,"$25,000 under $50,000",100
43333,"$50,000 under $75,000",70
43333,"$75,000 under $100,000",40
43333,"$100,000 under $200,000",40
43333,"$200,000 or more",**
,,
43334,,"2,980"
43334,"$1 under $25,000",980
43334,"$25,000 under $50,000",790
43334,"$50,000 under $75,000",530
43334,"$75,000 under $100,000",320
43334,"$100,000 under $200,000",330
43334,"$200,000 or more",30
,,
43337,,510
43337,"$1 under $25,000",160
43337,"$25,000 under $50,000",140
43337,"$50,000 under $75,000",90
43337,"$75,000 under $100,000",60
43337,"$100,000 under $200,000",60
43337,"$200,000 or more",**
,,
43338,,"4,650"
43338,"$1 under $25,000",1620
43338,"$25,000 under $50,000",1320
43338,"$50,000 under $75,000",770
43338,"$75,000 under $100,000",460
43338,"$100,000 under $200,000",420
43338,"$200,000 or more",60
,,
43340,,660
43340,"$1 under $25,000",220
43340,"$25,000 under $50,000",200
43340,"$50,000 under $75,000",110
43340,"$75,000 under $100,000",70
43340,"$100,000 under $200,000",60
43340,"$200,000 or more",**
,,
43341,,430
43341,"$1 under $25,000",150
43341,"$25,000 under $50,000",130
43341,"$50,000 under $75,000",60
43341,"$75,000 under $100,000",50
43341,"$100,000 under $200,000",40
43341,"$200,000 or more",**
,,
43342,,"1,640"
43342,"$1 under $25,000",460
43342,"$25,000 under $50,000",450
43342,"$50,000 under $75,000",290
43342,"$75,000 under $100,000",200
43342,"$100,000 under $200,000",210
43342,"$200,000 or more",30
,,
43343,,620
43343,"$1 under $25,000",220
43343,"$25,000 under $50,000",200
43343,"$50,000 under $75,000",90
43343,"$75,000 under $100,000",60
43343,"$100,000 under $200,000",50
43343,"$200,000 or more",**
,,
43344,,"2,720"
43344,"$1 under $25,000",890
43344,"$25,000 under $50,000",740
43344,"$50,000 under $75,000",460
43344,"$75,000 under $100,000",310
43344,"$100,000 under $200,000",290
43344,"$200,000 or more",30
,,
43345,,410
43345,"$1 under $25,000",120
43345,"$25,000 under $50,000",120
43345,"$50,000 under $75,000",80
43345,"$75,000 under $100,000",50
43345,"$100,000 under $200,000",40
43345,"$200,000 or more",**
,,
43347,,680
43347,"$1 under $25,000",220
43347,"$25,000 under $50,000",200
43347,"$50,000 under $75,000",130
43347,"$75,000 under $100,000",70
43347,"$100,000 under $200,000",60
43347,"$200,000 or more",**
,,
43348,,960
43348,"$1 under $25,000",390
43348,"$25,000 under $50,000",260
43348,"$50,000 under $75,000",160
43348,"$75,000 under $100,000",70
43348,"$100,000 under $200,000",80
43348,"$200,000 or more",**
,,
43351,,"5,080"
43351,"$1 under $25,000",1750
43351,"$25,000 under $50,000",1570
43351,"$50,000 under $75,000",790
43351,"$75,000 under $100,000",480
43351,"$100,000 under $200,000",410
43351,"$200,000 or more",80
,,
43356,,580
43356,"$1 under $25,000",150
43356,"$25,000 under $50,000",160
43356,"$50,000 under $75,000",100
43356,"$75,000 under $100,000",70
43356,"$100,000 under $200,000",100
43356,"$200,000 or more",**
,,
43357,,"2,300"
43357,"$1 under $25,000",720
43357,"$25,000 under $50,000",560
43357,"$50,000 under $75,000",420
43357,"$75,000 under $100,000",280
43357,"$100,000 under $200,000",280
43357,"$200,000 or more",40
,,
43358,,"1,200"
43358,"$1 under $25,000",380
43358,"$25,000 under $50,000",330
43358,"$50,000 under $75,000",200
43358,"$75,000 under $100,000",160
43358,"$100,000 under $200,000",130
43358,"$200,000 or more",**
,,
43359,,370
43359,"$1 under $25,000",120
43359,"$25,000 under $50,000",130
43359,"$50,000 under $75,000",60
43359,"$75,000 under $100,000",40
43359,"$100,000 under $200,000",20
43359,"$200,000 or more",**
,,
43360,,870
43360,"$1 under $25,000",250
43360,"$25,000 under $50,000",230
43360,"$50,000 under $75,000",140
43360,"$75,000 under $100,000",100
43360,"$100,000 under $200,000",150
43360,"$200,000 or more",**
,,
43402,,"14,060"
43402,"$1 under $25,000",5530
43402,"$25,000 under $50,000",3240
43402,"$50,000 under $75,000",1860
43402,"$75,000 under $100,000",1320
43402,"$100,000 under $200,000",1750
43402,"$200,000 or more",360
,,
43406,,820
43406,"$1 under $25,000",310
43406,"$25,000 under $50,000",250
43406,"$50,000 under $75,000",120
43406,"$75,000 under $100,000",80
43406,"$100,000 under $200,000",60
43406,"$200,000 or more",**
,,
43407,,300
43407,"$1 under $25,000",90
43407,"$25,000 under $50,000",100
43407,"$50,000 under $75,000",50
43407,"$75,000 under $100,000",30
43407,"$100,000 under $200,000",30
43407,"$200,000 or more",**
,,
43410,,"5,110"
43410,"$1 under $25,000",1820
43410,"$25,000 under $50,000",1560
43410,"$50,000 under $75,000",820
43410,"$75,000 under $100,000",510
43410,"$100,000 under $200,000",360
43410,"$200,000 or more",40
,,
43412,,"2,210"
43412,"$1 under $25,000",640
43412,"$25,000 under $50,000",470
43412,"$50,000 under $75,000",360
43412,"$75,000 under $100,000",290
43412,"$100,000 under $200,000",400
43412,"$200,000 or more",50
,,
43413,,700
43413,"$1 under $25,000",230
43413,"$25,000 under $50,000",210
43413,"$50,000 under $75,000",100
43413,"$75,000 under $100,000",90
43413,"$100,000 under $200,000",70
43413,"$200,000 or more",**
,,
43416,,"1,420"
43416,"$1 under $25,000",420
43416,"$25,000 under $50,000",330
43416,"$50,000 under $75,000",260
43416,"$75,000 under $100,000",180
43416,"$100,000 under $200,000",190
43416,"$200,000 or more",40
,,
43420,,"15,160"
43420,"$1 under $25,000",5720
43420,"$25,000 under $50,000",4590
43420,"$50,000 under $75,000",2310
43420,"$75,000 under $100,000",1290
43420,"$100,000 under $200,000",1080
43420,"$200,000 or more",170
,,
43430,,"2,410"
43430,"$1 under $25,000",760
43430,"$25,000 under $50,000",640
43430,"$50,000 under $75,000",450
43430,"$75,000 under $100,000",280
43430,"$100,000 under $200,000",250
43430,"$200,000 or more",30
,,
43431,,"2,290"
43431,"$1 under $25,000",770
43431,"$25,000 under $50,000",600
43431,"$50,000 under $75,000",420
43431,"$75,000 under $100,000",240
43431,"$100,000 under $200,000",260
43431,"$200,000 or more",**
,,
43432,,750
43432,"$1 under $25,000",240
43432,"$25,000 under $50,000",150
43432,"$50,000 under $75,000",130
43432,"$75,000 under $100,000",100
43432,"$100,000 under $200,000",130
43432,"$200,000 or more",**
,,
43435,,740
43435,"$1 under $25,000",240
43435,"$25,000 under $50,000",220
43435,"$50,000 under $75,000",140
43435,"$75,000 under $100,000",80
43435,"$100,000 under $200,000",60
43435,"$200,000 or more",**
,,
43440,,"2,600"
43440,"$1 under $25,000",890
43440,"$25,000 under $50,000",610
43440,"$50,000 under $75,000",410
43440,"$75,000 under $100,000",280
43440,"$100,000 under $200,000",320
43440,"$200,000 or more",90
,,
43442,,530
43442,"$1 under $25,000",180
43442,"$25,000 under $50,000",140
43442,"$50,000 under $75,000",100
43442,"$75,000 under $100,000",60
43442,"$100,000 under $200,000",50
43442,"$200,000 or more",**
,,
43443,,930
43443,"$1 under $25,000",270
43443,"$25,000 under $50,000",230
43443,"$50,000 under $75,000",160
43443,"$75,000 under $100,000",130
43443,"$100,000 under $200,000",140
43443,"$200,000 or more",**
,,
43445,,620
43445,"$1 under $25,000",210
43445,"$25,000 under $50,000",120
43445,"$50,000 under $75,000",100
43445,"$75,000 under $100,000",80
43445,"$100,000 under $200,000",110
43445,"$200,000 or more",**
,,
43447,,"1,810"
43447,"$1 under $25,000",540
43447,"$25,000 under $50,000",450
43447,"$50,000 under $75,000",330
43447,"$75,000 under $100,000",230
43447,"$100,000 under $200,000",230
43447,"$200,000 or more",30
,,
43449,,"4,160"
43449,"$1 under $25,000",1350
43449,"$25,000 under $50,000",980
43449,"$50,000 under $75,000",730
43449,"$75,000 under $100,000",530
43449,"$100,000 under $200,000",510
43449,"$200,000 or more",60
,,
43450,,"1,840"
43450,"$1 under $25,000",560
43450,"$25,000 under $50,000",450
43450,"$50,000 under $75,000",310
43450,"$75,000 under $100,000",240
43450,"$100,000 under $200,000",250
43450,"$200,000 or more",30
,,
43451,,560
43451,"$1 under $25,000",180
43451,"$25,000 under $50,000",160
43451,"$50,000 under $75,000",110
43451,"$75,000 under $100,000",60
43451,"$100,000 under $200,000",50
43451,"$200,000 or more",**
,,
43452,,"7,210"
43452,"$1 under $25,000",2770
43452,"$25,000 under $50,000",1780
43452,"$50,000 under $75,000",1060
43452,"$75,000 under $100,000",640
43452,"$100,000 under $200,000",760
43452,"$200,000 or more",200
,,
43457,,750
43457,"$1 under $25,000",270
43457,"$25,000 under $50,000",240
43457,"$50,000 under $75,000",120
43457,"$75,000 under $100,000",70
43457,"$100,000 under $200,000",50
43457,"$200,000 or more",**
,,
43460,,"3,340"
43460,"$1 under $25,000",1120
43460,"$25,000 under $50,000",890
43460,"$50,000 under $75,000",550
43460,"$75,000 under $100,000",380
43460,"$100,000 under $200,000",350
43460,"$200,000 or more",50
,,
43462,,540
43462,"$1 under $25,000",180
43462,"$25,000 under $50,000",170
43462,"$50,000 under $75,000",90
43462,"$75,000 under $100,000",50
43462,"$100,000 under $200,000",50
43462,"$200,000 or more",**
,,
43464,,690
43464,"$1 under $25,000",260
43464,"$25,000 under $50,000",210
43464,"$50,000 under $75,000",120
43464,"$75,000 under $100,000",50
43464,"$100,000 under $200,000",50
43464,"$200,000 or more",**
,,
43465,,"2,840"
43465,"$1 under $25,000",1020
43465,"$25,000 under $50,000",810
43465,"$50,000 under $75,000",470
43465,"$75,000 under $100,000",250
43465,"$100,000 under $200,000",270
43465,"$200,000 or more",20
,,
43466,,"1,000"
43466,"$1 under $25,000",300
43466,"$25,000 under $50,000",280
43466,"$50,000 under $75,000",200
43466,"$75,000 under $100,000",100
43466,"$100,000 under $200,000",120
43466,"$200,000 or more",**
,,
43469,,"1,600"
43469,"$1 under $25,000",470
43469,"$25,000 under $50,000",410
43469,"$50,000 under $75,000",280
43469,"$75,000 under $100,000",200
43469,"$100,000 under $200,000",220
43469,"$200,000 or more",20
,,
43501,,350
43501,"$1 under $25,000",130
43501,"$25,000 under $50,000",110
43501,"$50,000 under $75,000",50
43501,"$75,000 under $100,000",30
43501,"$100,000 under $200,000",30
43501,"$200,000 or more",**
,,
43502,,"3,570"
43502,"$1 under $25,000",1170
43502,"$25,000 under $50,000",950
43502,"$50,000 under $75,000",590
43502,"$75,000 under $100,000",390
43502,"$100,000 under $200,000",380
43502,"$200,000 or more",90
,,
43504,,540
43504,"$1 under $25,000",150
43504,"$25,000 under $50,000",110
43504,"$50,000 under $75,000",90
43504,"$75,000 under $100,000",70
43504,"$100,000 under $200,000",90
43504,"$200,000 or more",30
,,
43506,,"7,530"
43506,"$1 under $25,000",2760
43506,"$25,000 under $50,000",2400
43506,"$50,000 under $75,000",1070
43506,"$75,000 under $100,000",620
43506,"$100,000 under $200,000",540
43506,"$200,000 or more",140
,,
43511,,410
43511,"$1 under $25,000",120
43511,"$25,000 under $50,000",110
43511,"$50,000 under $75,000",90
43511,"$75,000 under $100,000",40
43511,"$100,000 under $200,000",50
43511,"$200,000 or more",**
,,
43512,,"13,850"
43512,"$1 under $25,000",4870
43512,"$25,000 under $50,000",3910
43512,"$50,000 under $75,000",2170
43512,"$75,000 under $100,000",1350
43512,"$100,000 under $200,000",1340
43512,"$200,000 or more",210
,,
43515,,"3,920"
43515,"$1 under $25,000",1320
43515,"$25,000 under $50,000",1100
43515,"$50,000 under $75,000",670
43515,"$75,000 under $100,000",400
43515,"$100,000 under $200,000",380
43515,"$200,000 or more",50
,,
43516,,"1,390"
43516,"$1 under $25,000",460
43516,"$25,000 under $50,000",410
43516,"$50,000 under $75,000",250
43516,"$75,000 under $100,000",150
43516,"$100,000 under $200,000",120
43516,"$200,000 or more",**
,,
43517,,"1,730"
43517,"$1 under $25,000",560
43517,"$25,000 under $50,000",560
43517,"$50,000 under $75,000",270
43517,"$75,000 under $100,000",180
43517,"$100,000 under $200,000",140
43517,"$200,000 or more",20
,,
43518,,"1,180"
43518,"$1 under $25,000",370
43518,"$25,000 under $50,000",390
43518,"$50,000 under $75,000",200
43518,"$75,000 under $100,000",120
43518,"$100,000 under $200,000",100
43518,"$200,000 or more",**
,,
43521,,"1,330"
43521,"$1 under $25,000",450
43521,"$25,000 under $50,000",460
43521,"$50,000 under $75,000",200
43521,"$75,000 under $100,000",130
43521,"$100,000 under $200,000",90
43521,"$200,000 or more",**
,,
43522,,"1,650"
43522,"$1 under $25,000",510
43522,"$25,000 under $50,000",420
43522,"$50,000 under $75,000",270
43522,"$75,000 under $100,000",190
43522,"$100,000 under $200,000",230
43522,"$200,000 or more",30
,,
43524,,620
43524,"$1 under $25,000",190
43524,"$25,000 under $50,000",150
43524,"$50,000 under $75,000",120
43524,"$75,000 under $100,000",80
43524,"$100,000 under $200,000",80
43524,"$200,000 or more",**
,,
43525,,540
43525,"$1 under $25,000",140
43525,"$25,000 under $50,000",100
43525,"$50,000 under $75,000",110
43525,"$75,000 under $100,000",100
43525,"$100,000 under $200,000",90
43525,"$200,000 or more",**
,,
43526,,"2,850"
43526,"$1 under $25,000",1000
43526,"$25,000 under $50,000",910
43526,"$50,000 under $75,000",450
43526,"$75,000 under $100,000",270
43526,"$100,000 under $200,000",190
43526,"$200,000 or more",30
,,
43527,,"1,090"
43527,"$1 under $25,000",330
43527,"$25,000 under $50,000",310
43527,"$50,000 under $75,000",210
43527,"$75,000 under $100,000",110
43527,"$100,000 under $200,000",130
43527,"$200,000 or more",**
,,
43528,,"8,280"
43528,"$1 under $25,000",2630
43528,"$25,000 under $50,000",1820
43528,"$50,000 under $75,000",1230
43528,"$75,000 under $100,000",790
43528,"$100,000 under $200,000",1350
43528,"$200,000 or more",460
,,
43532,,"1,920"
43532,"$1 under $25,000",670
43532,"$25,000 under $50,000",500
43532,"$50,000 under $75,000",320
43532,"$75,000 under $100,000",200
43532,"$100,000 under $200,000",210
43532,"$200,000 or more",20
,,
43533,,770
43533,"$1 under $25,000",240
43533,"$25,000 under $50,000",210
43533,"$50,000 under $75,000",140
43533,"$75,000 under $100,000",90
43533,"$100,000 under $200,000",90
43533,"$200,000 or more",**
,,
43534,,820
43534,"$1 under $25,000",290
43534,"$25,000 under $50,000",230
43534,"$50,000 under $75,000",130
43534,"$75,000 under $100,000",90
43534,"$100,000 under $200,000",80
43534,"$200,000 or more",**
,,
43535,,390
43535,"$1 under $25,000",130
43535,"$25,000 under $50,000",100
43535,"$50,000 under $75,000",70
43535,"$75,000 under $100,000",40
43535,"$100,000 under $200,000",50
43535,"$200,000 or more",**
,,
43536,,190
43536,"$1 under $25,000",60
43536,"$25,000 under $50,000",60
43536,"$50,000 under $75,000",30
43536,"$75,000 under $100,000",40
43536,"$100,000 under $200,000",**
43536,"$200,000 or more",**
,,
43537,,"15,090"
43537,"$1 under $25,000",4380
43537,"$25,000 under $50,000",3450
43537,"$50,000 under $75,000",2430
43537,"$75,000 under $100,000",1670
43537,"$100,000 under $200,000",2340
43537,"$200,000 or more",820
,,
43540,,690
43540,"$1 under $25,000",210
43540,"$25,000 under $50,000",160
43540,"$50,000 under $75,000",120
43540,"$75,000 under $100,000",90
43540,"$100,000 under $200,000",110
43540,"$200,000 or more",**
,,
43542,,"1,910"
43542,"$1 under $25,000",500
43542,"$25,000 under $50,000",260
43542,"$50,000 under $75,000",250
43542,"$75,000 under $100,000",220
43542,"$100,000 under $200,000",450
43542,"$200,000 or more",230
,,
43543,,"3,650"
43543,"$1 under $25,000",1350
43543,"$25,000 under $50,000",1220
43543,"$50,000 under $75,000",530
43543,"$75,000 under $100,000",290
43543,"$100,000 under $200,000",230
43543,"$200,000 or more",30
,,
43545,,"7,130"
43545,"$1 under $25,000",2450
43545,"$25,000 under $50,000",1870
43545,"$50,000 under $75,000",1200
43545,"$75,000 under $100,000",740
43545,"$100,000 under $200,000",740
43545,"$200,000 or more",130
,,
43548,,360
43548,"$1 under $25,000",100
43548,"$25,000 under $50,000",90
43548,"$50,000 under $75,000",80
43548,"$75,000 under $100,000",50
43548,"$100,000 under $200,000",40
43548,"$200,000 or more",**
,,
43549,,680
43549,"$1 under $25,000",220
43549,"$25,000 under $50,000",210
43549,"$50,000 under $75,000",110
43549,"$75,000 under $100,000",80
43549,"$100,000 under $200,000",60
43549,"$200,000 or more",**
,,
43551,,"20,170"
43551,"$1 under $25,000",5520
43551,"$25,000 under $50,000",4000
43551,"$50,000 under $75,000",3110
43551,"$75,000 under $100,000",2300
43551,"$100,000 under $200,000",3910
43551,"$200,000 or more",1330
,,
43554,,"1,240"
43554,"$1 under $25,000",420
43554,"$25,000 under $50,000",400
43554,"$50,000 under $75,000",220
43554,"$75,000 under $100,000",110
43554,"$100,000 under $200,000",90
43554,"$200,000 or more",**
,,
43556,,860
43556,"$1 under $25,000",280
43556,"$25,000 under $50,000",290
43556,"$50,000 under $75,000",150
43556,"$75,000 under $100,000",80
43556,"$100,000 under $200,000",60
43556,"$200,000 or more",**
,,
43557,,"1,330"
43557,"$1 under $25,000",430
43557,"$25,000 under $50,000",440
43557,"$50,000 under $75,000",220
43557,"$75,000 under $100,000",140
43557,"$100,000 under $200,000",100
43557,"$200,000 or more",**
,,
43558,,"6,670"
43558,"$1 under $25,000",2190
43558,"$25,000 under $50,000",1640
43558,"$50,000 under $75,000",1130
43558,"$75,000 under $100,000",770
43558,"$100,000 under $200,000",830
43558,"$200,000 or more",110
,,
43560,,"16,370"
43560,"$1 under $25,000",4840
43560,"$25,000 under $50,000",2930
43560,"$50,000 under $75,000",2360
43560,"$75,000 under $100,000",1790
43560,"$100,000 under $200,000",3150
43560,"$200,000 or more",1300
,,
43566,,"3,930"
43566,"$1 under $25,000",1060
43566,"$25,000 under $50,000",710
43566,"$50,000 under $75,000",650
43566,"$75,000 under $100,000",530
43566,"$100,000 under $200,000",810
43566,"$200,000 or more",170
,,
43567,,"6,330"
43567,"$1 under $25,000",2150
43567,"$25,000 under $50,000",1860
43567,"$50,000 under $75,000",1050
